user,project_name,namespace,url
AIworx-Labs,chocolate,tests/test_random.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_thompson.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_connection.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_quasirandom.py,https://github.com/AIworx-Labs/chocolate
AIworx-Labs,chocolate,tests/test_cmaes.py,https://github.com/AIworx-Labs/chocolate
ASMfreaK,habitipy,tests/test_cli.py,https://github.com/ASMfreaK/habitipy
AnemoneLabs,unmessage,tests/test_elements.py,https://github.com/AnemoneLabs/unmessage
AnemoneLabs,unmessage,tests/test_packets.py,https://github.com/AnemoneLabs/unmessage
ApeWorX,ape,tests/functional/manifests/test_manifest.py,https://github.com/ApeWorX/ape
Apress,clean-python,chapter08/hypothesis_use_for_property_testing.py,https://github.com/Apress/clean-python
Arachnid,pyqrencode,tests/test_encode.py,https://github.com/Arachnid/pyqrencode
Axelrod-Python,Axelrod,axelrod/tests/strategies/test_titfortat.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/integration/test_filtering.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_moran.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_resultset.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/strategies/test_player.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_tournament.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/strategies/test_meta.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/integration/test_matches.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/property.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_fingerprint.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_strategy_utils.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_match.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/integration/test_tournament.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_match_generator.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_property.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_filters.py,https://github.com/Axelrod-Python/Axelrod
Axelrod-Python,Axelrod,axelrod/tests/unit/test_game.py,https://github.com/Axelrod-Python/Axelrod
BBVA,apicheck,tools/curl/test/test_parse_hypothesis.py,https://github.com/BBVA/apicheck
BGT-M,spartan2,spartan/model/eaglemine/eaglemine_model.py,https://github.com/BGT-M/spartan2
BIGBALLON,Caffe2-Tutorial,05_cifar10_multi_gpu/test.py,https://github.com/BIGBALLON/Caffe2-Tutorial
BirkbeckCTP,janeway,src/review/views.py,https://github.com/BirkbeckCTP/janeway
BitBotFactory,MikaLendingBot,tests/test_MarketAnalysis.py,https://github.com/BitBotFactory/MikaLendingBot
BurnySc2,python-sc2,test/benchmark_distances_points_to_point.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/test_pickled_ramp.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/test_pickled_data.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_distances_cdist.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_distances_units.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_array_creation.py,https://github.com/BurnySc2/python-sc2
BurnySc2,python-sc2,test/benchmark_distance_two_points.py,https://github.com/BurnySc2/python-sc2
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/core/tests/test_arrayprint.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/tseries/offsets/test_ticks.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/core/tests/test_numeric.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/io/parser/test_parse_dates.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/_pytesttester.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/tslibs/test_ccalendar.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/conftest.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/tseries/offsets/test_offsets_properties.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/conftest.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/util/_tester.py,https://github.com/CaioMadeira/The-Philosopher-BOT
CiwPython,Ciw,ciw/tests/test_simulation.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_sampling.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_auxiliary.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_network.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_node.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_server.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_individual.py,https://github.com/CiwPython/Ciw
CiwPython,Ciw,ciw/tests/test_data_record.py,https://github.com/CiwPython/Ciw
ClusterHQ,flocker,flocker/dockerplugin/test/test_api.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/control/test/test_diffing.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/control/testtools.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/_testhelpers.py,https://github.com/ClusterHQ/flocker
ClusterHQ,dvol,dvol_python/__init__.py,https://github.com/ClusterHQ/dvol
ClusterHQ,flocker,flocker/control/test/test_persistence.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/common/test/test_algebraic.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,admin/test/test_merge_pr.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/test/test_flaky.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,admin/test/test_release.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/common/algebraic.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/test/test_matchers.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/test/test_base.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/acceptance/endtoend/test_dockerplugin.py,https://github.com/ClusterHQ/flocker
ClusterHQ,flocker,flocker/testtools/strategies.py,https://github.com/ClusterHQ/flocker
