,user,project_name,namespace,url
695,AIworx-Labs,chocolate,tests/test_random.py,https://github.com/AIworx-Labs/chocolate
994,AIworx-Labs,chocolate,tests/test_thompson.py,https://github.com/AIworx-Labs/chocolate
1137,AIworx-Labs,chocolate,tests/test_connection.py,https://github.com/AIworx-Labs/chocolate
1059,AIworx-Labs,chocolate,tests/test_quasirandom.py,https://github.com/AIworx-Labs/chocolate
308,AIworx-Labs,chocolate,tests/test_cmaes.py,https://github.com/AIworx-Labs/chocolate
1958,ASMfreaK,habitipy,tests/test_cli.py,https://github.com/ASMfreaK/habitipy
1552,AnemoneLabs,unmessage,tests/test_elements.py,https://github.com/AnemoneLabs/unmessage
1108,AnemoneLabs,unmessage,tests/test_packets.py,https://github.com/AnemoneLabs/unmessage
1693,ApeWorX,ape,tests/functional/manifests/test_manifest.py,https://github.com/ApeWorX/ape
244,Apress,clean-python,chapter08/hypothesis_use_for_property_testing.py,https://github.com/Apress/clean-python
1959,Arachnid,pyqrencode,tests/test_encode.py,https://github.com/Arachnid/pyqrencode
2167,Axelrod-Python,Axelrod,axelrod/tests/strategies/test_titfortat.py,https://github.com/Axelrod-Python/Axelrod
2166,Axelrod-Python,Axelrod,axelrod/tests/integration/test_filtering.py,https://github.com/Axelrod-Python/Axelrod
2161,Axelrod-Python,Axelrod,axelrod/tests/unit/test_moran.py,https://github.com/Axelrod-Python/Axelrod
1550,Axelrod-Python,Axelrod,axelrod/tests/unit/test_resultset.py,https://github.com/Axelrod-Python/Axelrod
2142,Axelrod-Python,Axelrod,axelrod/tests/strategies/test_player.py,https://github.com/Axelrod-Python/Axelrod
606,Axelrod-Python,Axelrod,axelrod/tests/unit/test_tournament.py,https://github.com/Axelrod-Python/Axelrod
2128,Axelrod-Python,Axelrod,axelrod/tests/strategies/test_meta.py,https://github.com/Axelrod-Python/Axelrod
93,Axelrod-Python,Axelrod,axelrod/tests/integration/test_matches.py,https://github.com/Axelrod-Python/Axelrod
501,Axelrod-Python,Axelrod,axelrod/tests/property.py,https://github.com/Axelrod-Python/Axelrod
1253,Axelrod-Python,Axelrod,axelrod/tests/unit/test_fingerprint.py,https://github.com/Axelrod-Python/Axelrod
1824,Axelrod-Python,Axelrod,axelrod/tests/unit/test_strategy_utils.py,https://github.com/Axelrod-Python/Axelrod
361,Axelrod-Python,Axelrod,axelrod/tests/unit/test_match.py,https://github.com/Axelrod-Python/Axelrod
1340,Axelrod-Python,Axelrod,axelrod/tests/integration/test_tournament.py,https://github.com/Axelrod-Python/Axelrod
1048,Axelrod-Python,Axelrod,axelrod/tests/unit/test_match_generator.py,https://github.com/Axelrod-Python/Axelrod
1065,Axelrod-Python,Axelrod,axelrod/tests/unit/test_property.py,https://github.com/Axelrod-Python/Axelrod
879,Axelrod-Python,Axelrod,axelrod/tests/unit/test_filters.py,https://github.com/Axelrod-Python/Axelrod
38,Axelrod-Python,Axelrod,axelrod/tests/unit/test_game.py,https://github.com/Axelrod-Python/Axelrod
991,BBVA,apicheck,tools/curl/test/test_parse_hypothesis.py,https://github.com/BBVA/apicheck
1885,BGT-M,spartan2,spartan/model/eaglemine/eaglemine_model.py,https://github.com/BGT-M/spartan2
1756,BIGBALLON,Caffe2-Tutorial,05_cifar10_multi_gpu/test.py,https://github.com/BIGBALLON/Caffe2-Tutorial
1211,BirkbeckCTP,janeway,src/review/views.py,https://github.com/BirkbeckCTP/janeway
529,BitBotFactory,MikaLendingBot,tests/test_MarketAnalysis.py,https://github.com/BitBotFactory/MikaLendingBot
627,BurnySc2,python-sc2,test/benchmark_distances_points_to_point.py,https://github.com/BurnySc2/python-sc2
1238,BurnySc2,python-sc2,test/test_pickled_ramp.py,https://github.com/BurnySc2/python-sc2
845,BurnySc2,python-sc2,test/test_pickled_data.py,https://github.com/BurnySc2/python-sc2
92,BurnySc2,python-sc2,test/benchmark_distances_cdist.py,https://github.com/BurnySc2/python-sc2
1450,BurnySc2,python-sc2,test/benchmark_distances_units.py,https://github.com/BurnySc2/python-sc2
2082,BurnySc2,python-sc2,test/benchmark_array_creation.py,https://github.com/BurnySc2/python-sc2
1086,BurnySc2,python-sc2,test/benchmark_distance_two_points.py,https://github.com/BurnySc2/python-sc2
164,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/core/tests/test_arrayprint.py,https://github.com/CaioMadeira/The-Philosopher-BOT
1022,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/tseries/offsets/test_ticks.py,https://github.com/CaioMadeira/The-Philosopher-BOT
163,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/core/tests/test_numeric.py,https://github.com/CaioMadeira/The-Philosopher-BOT
648,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/io/parser/test_parse_dates.py,https://github.com/CaioMadeira/The-Philosopher-BOT
554,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/_pytesttester.py,https://github.com/CaioMadeira/The-Philosopher-BOT
188,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/tslibs/test_ccalendar.py,https://github.com/CaioMadeira/The-Philosopher-BOT
1183,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/conftest.py,https://github.com/CaioMadeira/The-Philosopher-BOT
1869,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/tests/tseries/offsets/test_offsets_properties.py,https://github.com/CaioMadeira/The-Philosopher-BOT
814,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/numpy/conftest.py,https://github.com/CaioMadeira/The-Philosopher-BOT
1771,CaioMadeira,The-Philosopher-BOT,venv/Lib/site-packages/pandas/util/_tester.py,https://github.com/CaioMadeira/The-Philosopher-BOT
1712,CiwPython,Ciw,ciw/tests/test_simulation.py,https://github.com/CiwPython/Ciw
489,CiwPython,Ciw,ciw/tests/test_sampling.py,https://github.com/CiwPython/Ciw
2113,CiwPython,Ciw,ciw/tests/test_auxiliary.py,https://github.com/CiwPython/Ciw
1332,CiwPython,Ciw,ciw/tests/test_network.py,https://github.com/CiwPython/Ciw
583,CiwPython,Ciw,ciw/tests/test_node.py,https://github.com/CiwPython/Ciw
2151,CiwPython,Ciw,ciw/tests/test_server.py,https://github.com/CiwPython/Ciw
825,CiwPython,Ciw,ciw/tests/test_individual.py,https://github.com/CiwPython/Ciw
917,CiwPython,Ciw,ciw/tests/test_data_record.py,https://github.com/CiwPython/Ciw
952,ClusterHQ,flocker,flocker/dockerplugin/test/test_api.py,https://github.com/ClusterHQ/flocker
662,ClusterHQ,flocker,flocker/control/test/test_diffing.py,https://github.com/ClusterHQ/flocker
141,ClusterHQ,flocker,flocker/control/testtools.py,https://github.com/ClusterHQ/flocker
248,ClusterHQ,flocker,flocker/testtools/_testhelpers.py,https://github.com/ClusterHQ/flocker
1264,ClusterHQ,dvol,dvol_python/__init__.py,https://github.com/ClusterHQ/dvol
1714,ClusterHQ,flocker,flocker/control/test/test_persistence.py,https://github.com/ClusterHQ/flocker
887,ClusterHQ,flocker,flocker/common/test/test_algebraic.py,https://github.com/ClusterHQ/flocker
974,ClusterHQ,flocker,admin/test/test_merge_pr.py,https://github.com/ClusterHQ/flocker
507,ClusterHQ,flocker,flocker/testtools/test/test_flaky.py,https://github.com/ClusterHQ/flocker
643,ClusterHQ,flocker,admin/test/test_release.py,https://github.com/ClusterHQ/flocker
1420,ClusterHQ,flocker,flocker/common/algebraic.py,https://github.com/ClusterHQ/flocker
737,ClusterHQ,flocker,flocker/testtools/test/test_matchers.py,https://github.com/ClusterHQ/flocker
198,ClusterHQ,flocker,flocker/testtools/test/test_base.py,https://github.com/ClusterHQ/flocker
1085,ClusterHQ,flocker,flocker/acceptance/endtoend/test_dockerplugin.py,https://github.com/ClusterHQ/flocker
418,ClusterHQ,flocker,flocker/testtools/strategies.py,https://github.com/ClusterHQ/flocker
522,ClusterHQ,flocker,flocker/node/agents/test/test_blockdevice.py,https://github.com/ClusterHQ/flocker
1624,ClusterHQ,flocker,flocker/common/test/test_filepath.py,https://github.com/ClusterHQ/flocker
1123,ClusterHQ,flocker,flocker/node/test/test_loop.py,https://github.com/ClusterHQ/flocker
2178,ClusterHQ,dvol,dvol_python/test_dvol.py,https://github.com/ClusterHQ/dvol
630,ClusterHQ,flocker,flocker/common/test/test_retry.py,https://github.com/ClusterHQ/flocker
1208,ClusterHQ,flocker,flocker/node/agents/test/test_ebs.py,https://github.com/ClusterHQ/flocker
259,ClusterHQ,flocker,flocker/node/agents/test/strategies.py,https://github.com/ClusterHQ/flocker
30,ClusterHQ,flocker,flocker/control/test/test_model.py,https://github.com/ClusterHQ/flocker
1351,ContinuumIO,cyberpandas,tests/ip/test_ip_pandas.py,https://github.com/ContinuumIO/cyberpandas
922,ContinuumIO,cyberpandas,tests/ip/test_ip.py,https://github.com/ContinuumIO/cyberpandas
553,CyberAgent,cmaes,fuzzing.py,https://github.com/CyberAgent/cmaes
407,CyberAgent,cmaes,tests/test_fuzzing.py,https://github.com/CyberAgent/cmaes
607,DIRACGrid,DIRAC,src/DIRAC/Core/Utilities/test/Test_Encode.py,https://github.com/DIRACGrid/DIRAC
55,DIRACGrid,DIRAC,tests/Integration/TornadoServices/Test_TornadoAndDISETmixed.py,https://github.com/DIRACGrid/DIRAC
1518,DIRACGrid,DIRAC,tests/DISET_HTTPS_migration/TestServerIntegration.py,https://github.com/DIRACGrid/DIRAC
844,DIRACGrid,DIRAC,src/DIRAC/Core/Security/test/Test_X509Chain.py,https://github.com/DIRACGrid/DIRAC
1020,DIRACGrid,DIRAC,src/DIRAC/Core/Utilities/test/Test_File.py,https://github.com/DIRACGrid/DIRAC
1577,DRMacIver,schroedinteger,tests/test_bitwise.py,https://github.com/DRMacIver/schroedinteger
867,DRMacIver,schroedinteger,tests/test_insertion.py,https://github.com/DRMacIver/schroedinteger
1728,DRMacIver,schroedinteger,tests/test_arithmetic.py,https://github.com/DRMacIver/schroedinteger
311,DRMacIver,structureshrink,tests/test_shrinking.py,https://github.com/DRMacIver/structureshrink
1805,DRMacIver,shrinkray,tests/test_cutting.py,https://github.com/DRMacIver/shrinkray
774,DRMacIver,minithesis,test_minithesis.py,https://github.com/DRMacIver/minithesis
1423,DRMacIver,shrinkray,tests/test_basic_reductions.py,https://github.com/DRMacIver/shrinkray
1534,DRMacIver,schroedinteger,tests/test_quack.py,https://github.com/DRMacIver/schroedinteger
1559,DRMacIver,schroedinteger,tests/common.py,https://github.com/DRMacIver/schroedinteger
2207,DataDog,dd-trace-py,tests/tracer/test_encoders.py,https://github.com/DataDog/dd-trace-py
792,DataDog,dd-trace-py,tests/tracer/test_http.py,https://github.com/DataDog/dd-trace-py
1905,DataDog,dd-trace-py,tests/contrib/pytest/test_pytest.py,https://github.com/DataDog/dd-trace-py
593,DataDog,dd-trace-py,tests/tracer/test_compat.py,https://github.com/DataDog/dd-trace-py
1298,DataDog,dd-trace-py,tests/tracer/test_trace_utils.py,https://github.com/DataDog/dd-trace-py
1799,EvanKepner,mutatest,mutatest/tests/test_cli.py,https://github.com/EvanKepner/mutatest
1113,EvanKepner,mutatest,mutatest/tests/test_run.py,https://github.com/EvanKepner/mutatest
739,EvanKepner,mutatest,mutatest/tests/test_cache.py,https://github.com/EvanKepner/mutatest
1320,Ezibenroc,PyRoaringBitMap,test.py,https://github.com/Ezibenroc/PyRoaringBitMap
1336,FAForever,server,tests/unit_tests/test_matchmaker_queue_algorithm.py,https://github.com/FAForever/server
1630,FAForever,server,tests/unit_tests/test_protocol.py,https://github.com/FAForever/server
130,FAForever,server,tests/unit_tests/test_ladder_service.py,https://github.com/FAForever/server
911,FAForever,server,tests/unit_tests/strategies.py,https://github.com/FAForever/server
403,FAForever,server,tests/unit_tests/test_map_pool.py,https://github.com/FAForever/server
463,FAForever,server,tests/conftest.py,https://github.com/FAForever/server
2237,FAForever,server,tests/unit_tests/test_matchmaker_queue.py,https://github.com/FAForever/server
775,FAForever,server,tests/utils.py,https://github.com/FAForever/server
123,FISCO-BCOS,python-sdk,eth_abi/tools/_strategies.py,https://github.com/FISCO-BCOS/python-sdk
394,FelixZFB,wuhan_2019-nCoV,venv/Lib/site-packages/pandas/tests/tseries/offsets/test_offsets_properties.py,https://github.com/FelixZFB/wuhan_2019-nCoV
457,FelixZFB,wuhan_2019-nCoV,venv/Lib/site-packages/pandas/tests/io/parser/test_parse_dates.py,https://github.com/FelixZFB/wuhan_2019-nCoV
305,FelixZFB,wuhan_2019-nCoV,venv/Lib/site-packages/pandas/util/_tester.py,https://github.com/FelixZFB/wuhan_2019-nCoV
576,FelixZFB,wuhan_2019-nCoV,venv/Lib/site-packages/pandas/tests/tseries/offsets/test_ticks.py,https://github.com/FelixZFB/wuhan_2019-nCoV
1229,FelixZFB,wuhan_2019-nCoV,venv/Lib/site-packages/pandas/conftest.py,https://github.com/FelixZFB/wuhan_2019-nCoV
1058,FragileTech,fragile,tests/core/test_functions.py,https://github.com/FragileTech/fragile
1727,FragileTech,fragile,tests/core/test_walkers.py,https://github.com/FragileTech/fragile
1143,Galvant,InstrumentKit,instruments/tests/test_tektronix/test_tekdpo70000.py,https://github.com/Galvant/InstrumentKit
1226,Galvant,InstrumentKit,instruments/tests/test_tektronix/test_tektronix_tds224.py,https://github.com/Galvant/InstrumentKit
1535,Galvant,InstrumentKit,instruments/tests/test_generic_scpi/test_scpi_instrument.py,https://github.com/Galvant/InstrumentKit
304,Galvant,InstrumentKit,instruments/tests/test_srs/test_srsctc100.py,https://github.com/Galvant/InstrumentKit
1804,Galvant,InstrumentKit,instruments/tests/test_test_utils.py,https://github.com/Galvant/InstrumentKit
112,Galvant,InstrumentKit,instruments/tests/test_gentec_eo/test_blu.py,https://github.com/Galvant/InstrumentKit
794,Galvant,InstrumentKit,instruments/tests/test_keithley/test_keithley580.py,https://github.com/Galvant/InstrumentKit
