owner,repo,commit
tryexceptpass,sofi,cbdb6e49a0e67108991b090842b105adf54a5381
cognitedata,Expression,cb6bfcce9d36231fd8a7d3f1059ab21a471cf9bd
miiohio,succinct,c5adc7b409264d027e4ea97d18d809f39434861f
poljar,matrix-nio,706597708eb109e763d7537d30bed97533f958b0
aws-cloudformation,cloudformation-cli-python-plugin,9d1ab976406b16276e0e7de3cadb06fdc3b2c8e5
xgcm,xhistogram,a73be2fd7bbed5c34d95f7ca876ddcab1dd2ecc1
xhochy,fletcher,afb2395e4ee764ee5f9dee9c797463f56a55a59d
suned,pfun,d34939f9f55769751065a44e5bba3781690761da
dit,dit,b13c5020a2b8524527a4a0db5a81d8549142228c
lenskit,lkpy,d6e8c80149759b9be9380821889df1cb0b3da04d
nii-yamagishilab,tacotron2,5052c254f95fa6b51c4c1939a0171abb0c06835c
astropy,astropy,f6bcea33cf16f3d5e06d860022b82b307d951565
ariebovenberg,quiz,1614c7585021a8baa8fc3314b002ff58c3cce3a2
data61,anonlink,dc939472ce82dfa3cbd0993b8de4adb18c2fe0df
brandtbucher,hax,add83a96a13458d66c42a8f58860e8fc25520fe4
bankroll-py,bankroll,f1f147143e0fc8380267bee91da7d6fb4f409ada
PyCQA,flake8-bugbear,bf51b5d0a74330c6d3172a49f8d252916a6792a6
opendatacube,datacube-core,0bd488f671035980f19bf5d5520cdfc1df79c397
lordmauve,chopsticks,87c6a5d0049a45db1477a21510cba650f470a8ac
curvefi,curve-pool-registry,0bdb116024ccacda39295bb3949c3e6dd0a8e2d9
mitmproxy,pdoc,49915832d6c018339b9d256a16ae3ae57fa48076
qutebrowser,qutebrowser,60f526d81fbdd64ebe954c30e0929adbdefc9e37
pymtl,pymtl3,eea5ff49e06b303123097dc4d9e163790c0f58d6
GoLP-IST,nata,263927059e786504d5c41e9ee3699b85b42c0a8f
nix-community,pypi2nix,4a5a9d399e960d85b3e37b6a564bcbe655287e3c
castelao,CoTeDe,9b77771da77bf727ba8da16e7b0dc1818cf10718
infobyte,faraday,0c01c314320321b380d35d4e2660208c1c2989f4
machinable-org,machinable,ae45aaf5c87c7dac221a46ed8113012d50fa535a
CyberAgent,cmaes,291376ef3b251d0629e048f8d5169299ac535662
python-hyper,hyperlink,ec7d17268809f89f044e04d71225d6a6e4df264d
mantl,terraform.py,c9276d710585e2db0925ac83ad9d7145dfc3d723
unihd-cag,skillbridge,2fc01c273ea4473ded1e26bc93d776fa3c39dc0e
MDAnalysis,mdanalysis,c0e6552611201967e5c2bfa6edb30bfc03166d04
python-tls,tls,9368423e46a8bcb89c82b2b31bba5e900406fdb9
tdda,tdda,1eaf77a76a946284da9e4cd034fdde5f1f87b5a7
sourmash-bio,sourmash,cf47079346fdc099bab5ac0250c18705098d6e54
radical-cybertools,radical.entk,bb665d839ca8e79bfd9dcf56a43f1d4e26b2051a
brentyi,jaxlie,41337d7ea19ed4a10c487cf2a0b3bb42cb46b3a0
BIGBALLON,Caffe2-Tutorial,6e5547c673763e43ef19223aca7f6e418a62a6db
przemyslawjanpietrzak,pyMonet,94610ee4f1c71aa5f50e0813539bf1a2ea279d70
nii-yamagishilab,self-attention-tacotron,0ebd96114feab5a499964402a8ab7e402f0083b4
twisted,klein,ebcc604ee60ad4cf0a224e8c018060bbe184ae9c
PKSHATechnology-Research,camphr,d464d079e71fed0d53f78d45a42c1fdf6637c10a
AIworx-Labs,chocolate,0ba4f6f0130eab851d32d5534241c8cac3f6666e
ethereum,eth-keys,f30c73ee2d40e627e4400b23a5d54b577a3442f5
ClusterHQ,dvol,adf6c49bbf74d26fbc802a3cdd02ee47e18ad934
RazerM,parver,aebccb937385ee72696beddd795895cca12fa20e
mristin,icontract-hypothesis,0cf0aa169342d0ca859d06026adc3d0bc4f68e2a
OpenSourceEconomics,respy,91e8a193fb7d5cf7212c15e50ae43f810bb9b1eb
sid-the-coder,QuickDA,5ae2a867e5a548e34f28aec89e49c361071b872c
schemathesis,schemathesis,4b18d2da452646225912fc0fc1072d0771bb4efa
dry-python,returns,237d45d15005ed16669a92b77a3823c5c6a38ecb
